time to contract: 8 seconds

2,6 GHz 6-Core Intel Core i7
16 GB 2400 MHz DDR4average relaxed for benchmark DijkstraCH: 39
average relaxed for benchmark DijkstraCH: 38
average relaxed for benchmark DijkstraCH: 39
average relaxed for benchmark DijkstraCH: 38
average relaxed for benchmark DijkstraCH: 56
average relaxed for benchmark DijkstraCH: 40
average relaxed for benchmark DijkstraCH: 37
average relaxed for benchmark DijkstraCH: 40
average relaxed for benchmark DijkstraCH: 40
average relaxed for benchmark DijkstraCH: 39
average relaxed for benchmark DijkstraCH: 38
average relaxed for benchmark DijkstraCH: 38
average relaxed for benchmark DijkstraCH: 18
average relaxed for benchmark DijkstraCH: 56
average relaxed for benchmark DijkstraCH: 62
average relaxed for benchmark DijkstraCH: 57
average relaxed for benchmark DijkstraCH: 62
average relaxed for benchmark DijkstraCH: 480
average relaxed for benchmark DijkstraCH: 59
average relaxed for benchmark DijkstraCH: 59
average relaxed for benchmark DijkstraCH: 62
average relaxed for benchmark DijkstraCH: 60
average relaxed for benchmark DijkstraCH: 58
average relaxed for benchmark DijkstraCH: 60
average relaxed for benchmark DijkstraCH: 0
average relaxed for benchmark DijkstraCH: 0
average relaxed for benchmark DijkstraCH: 0
average relaxed for benchmark DijkstraCH: 0
average relaxed for benchmark DijkstraCH: 15
average relaxed for benchmark DijkstraCH: 15
average relaxed for benchmark DijkstraCH: 15
average relaxed for benchmark DijkstraCH: 15
average relaxed for benchmark DijkstraCH: 15
